Kabupaten/Kota,2018,2019,2020,2021,2022,2023
Klaten,41,41,22,55,61.49,64.85
Sukoharjo,27,57,73,58,61.48,57.3
Wonogiri,7,17,17,10,26.83,10.55
Karanganyar,9,13,27,48,52.3,87.77
Sragen,24,25,24,23,39.04,46.97
Grobogan,19,10,18,9,27.26,11.55
Blora,25,18,33,19,25.12,51.22
Rembang,9,11,6,33,20.75,10.02
Pati,8,6,9,12,36.47,56.18
Kudus,19,7,12,9,29.16,58.18
Jepara,21,23,10,11,20.1,18.27
Demak,17,28,40,25,12.59,50.97
Semarang,43,15,37,17,38.16,81.11
Temanggung,7,10,48,27,14.62,34.57
Kendal,28,34,24,45,78.65,66.28
Batang,17,11,18,8,22.43,19.39
Pekalongan,18,14,52,44,20.39,44.89
Pemalang,46,39,39,50,65.94,72.23
Tegal,31,33,30,101,66.61,75.47
Brebes,49,28,53,51,11.34,61.55
Kota Magelang,43,46,41,66,85.18,62.12
Kota Surakarta,94,48,103,116,85.15,78.21
Kota Salatiga,42,67,67,75,86.85,65.69
Kota Semarang,153,70,65,151,145.83,77.36
Kota Pekalongan,56,32,65,119,91.08,54.29
Kota Tegal,96,87,89,139,91.48,220.87
Kulon Progo,13,34,29,23,73.67,22.12
Bantul,63,59,94,87,71.25,148.16
Gunung Kidul,5,16,4,18,2.02,24.99
Sleman,50,69,78,125,163.93,130.46
Kota Yogyakarta,138,81,57,171,100.62,95.22
Pacitan,10,22,16,3,5.73,13.73
Ponorogo,16,36,63,54,60.04,58.06
Trenggalek,13,13,10,17,14.69,20.86
Tulungagung,32,27,18,40,76.11,53.27
Blitar,33,53,44,71,25.88,37.78
Kediri,35,36,94,67,29.73,40.6
Malang,28,18,27,24,25.17,40.29
Lumajang,14,9,11,25,37.42,58.23
Jember,12,2,14,23,21.18,17.42
Banyuwangi,22,17,23,35,50.19,78.02
Bondowoso,9,9,10,16,22.25,16.02
Situbondo,22,51,20,25,38.91,23.43
Probolinggo,8,23,24,5,28.09,26.53
Pasuruan,22,19,36,45,13.22,25.98
Sidoarjo,119,147,161,176,169.98,174.72
Mojokerto,30,53,52,21,27.54,48.8
Jombang,28,22,43,41,25.48,50.02
Nganjuk,67,74,61,85,41.92,55.69
Madiun,82,55,77,70,40.55,33.05
Magetan,50,54,38,39,35.01,63.86
Ngawi,14,26,43,36,9.69,39.97
Bojonegoro,5,10,3,7,18.26,2.24
Tuban,8,4,7,8,12.39,10.93
Lamongan,24,8,25,35,23.77,31.17
Gresik,64,27,38,65,55.32,67.28
Bangkalan,20,10,10,22,64.45,54.23
Sampang,13,1,14,29,3.57,6.19
Pamekasan,5,6,27,33,18.91,10.65
Sumenep,12,25,11,43,34.81,27.28
Kota Kediri,58,37,52,147,138.43,64.09
Kota Blitar,50,54,50,134,36.78,114.71
Kota Malang,83,57,75,88,138.85,70.58
Kota Probolinggo,18,20,16,32,41.58,50.09
Kota Pasuruan,50,24,35,54,113.28,47.16
Kota Mojokerto,35,17,81,53,59.12,40.12
Kota Madiun,39,84,62,117,113.68,142.23
Kota Surabaya,161,53,113,194,97.19,229.03
Kota Batu,48,75,85,78,74.43,69.08
Pandeglang,41,23,43,37,22.74,41.87
Lebak,61,55,32,39,56.6,45.44
Tangerang,96,135,137,85,171.28,113.82
Serang,55,51,25,44,89.13,60.28
Kota Tangerang,186,204,230,327,362.39,312.35
Kota Cilegon,130,80,78,221,263.68,215.14
Kota Serang,55,82,80,53,118.64,129.64
Kota Tangerang Selatan,221,153,103,196,150.09,278.92
Jembrana,16,4,19,53,42.66,36.52
Tabanan,39,37,30,69,77.22,166.65
Badung,121,169,148,169,100.98,236.53
Gianyar,23,23,44,50,71.38,70.98
Klungkung,76,70,50,18,74.64,186.36
Bangli,14,18,12,63,39.47,45.06
Karangasem,17,5,38,14,8.72,3.06
Buleleng,5,19,23,17,23.22,12.56
Kota Denpasar,120,97,107,143,184.22,136.17
Lombok Barat,16,27,18,25,47.71,59.23
Lombok Tengah,24,15,32,18,3.6,21.31
Lombok Timur,36,16,30,39,24.4,43.37
Sumbawa,31,15,13,32,24.08,86.97
Dompu,38,16,40,67,29.52,20.62
Bima,28,27,22,42,89.25,46.17
Sumbawa Barat,20,56,100,108,112.76,134.23
Lombok Utara,9,-,2,3,6.78,43.17
Kota Mataram,67,52,99,106,173.24,116.5
Kota Bima,67,37,78,148,135.87,120.02
Sumba Barat,4,6,7,6,2.22,24.83
Sumba Timur,2,2,2,2,0.59,10.03
Kupang,12,5,3,5,1.01,7.19
Timor Tengah Selatan,1,1,3,10,1.24,2.76
Timor Tengah Utara,14,8,12,-,1.77,9.87
Belu,1,6,1,13,2.66,8.94
Alor,40,20,16,31,6.48,5.12
Lembata,15,31,9,16,30.9,28.04
Flores Timur,13,24,10,21,21.87,5.99
Sikka,31,19,7,3,14.04,3.84
Ende,17,9,6,29,15.35,45.03
Ngada,22,22,12,11,8.71,42.4
Manggarai,9,12,3,18,16.48,29.92
Rote Ndao,15,25,9,-,3.76,5.34
Manggarai Barat,40,34,52,32,17.28,30.63
Sumba Tengah,26,-,-,7,8.11,4.37
Sumba Barat Daya,5,-,-,-,6.73,-
Nagekeo,22,2,-,7,4.64,8.98
Manggarai Timur,2,6,7,1,-,14.29
Sabu Raijua,12,14,21,11,4.44,23.62
Malaka,-,2,2,2,1.86,0.51
Kota Kupang,36,20,29,62,49.54,55.7
Sambas,41,22,30,32,52.61,26.6
Bengkayang,44,13,28,23,9.28,18.17
Landak,23,15,11,29,10.08,52.49
Mempawah,33,35,30,82,82.08,55.99
Sanggau,67,47,24,42,51.62,71.81
Ketapang,20,57,32,35,34.19,18.56
Sintang,25,20,10,51,41.5,32.34
Kapuas Hulu,54,57,101,81,108.38,184.8
Sekadau,64,32,45,77,61.87,47.72
Melawi,14,3,20,13,63.03,48.87
Kayong Utara,59,45,55,28,33.56,54.69
Kubu Raya,28,60,60,50,52.6,60.62
Kota Pontianak,118,100,105,223,212.22,201.62
Kota Singkawang,96,72,154,184,176.45,62.68
Kotawaringin Barat,35,32,29,63,72.02,49.7
Kotawaringin Timur,79,55,51,60,103.72,84.28
Kapuas,45,45,36,65,35.39,54.42
