Kabupaten/Kota,2018,2019,2020,2021,2022,2023
Kolaka Timur,243,157,142,255,207,236.27
Konawe Kepulauan,19,12,21,12,45.92,28.3
Muna Barat,52,31,46,39,48.47,64.51
Buton Tengah,68,9,16,24,20.35,44.71
Buton Selatan,6,34,20,16,19.18,17.31
Kota Kendari,98,73,95,66,141.8,116.41
Kota Baubau,37,16,46,60,77.25,35.44
Boalemo,539,531,620,700,778.36,667.61
Gorontalo,388,366,338,436,357.07,281.42
Pohuwato,525,451,563,703,524.38,435.5
Bone Bolango,364,268,312,398,378.33,357.18
Gorontalo Utara,381,397,438,640,428.38,465.7
Kota Gorontalo,319,318,267,288,403.55,343.59
Majene,102,129,119,157,118.25,119.94
Polewali Mandar,139,159,152,181,239.35,243.1
Mamasa,23,28,15,21,20.18,25.01
Mamuju,126,100,130,147,122.02,144.27
Mamuju Utara,300,250,221,284,288.42,317.9
Mamuju Tengah,161,191,214,217,228.86,190.16
Maluku Tenggara Barat,1,29,21,43,8.29,35.67
Maluku Tenggara,26,14,7,53,38.59,38.77
Maluku Tengah,11,-,12,13,104.91,67.99
Buru,79,92,63,94,129.27,75.82
Kepulauan Aru,20,25,19,20,41.61,34.75
Seram Bagian Barat,13,10,17,13,10.91,21.97
Seram Bagian Timur,15,16,23,13,22.89,33.33
Maluku Barat Daya,13,19,-,8,15.15,26.57
Buru Selatan,3,8,3,22,16.02,10.63
Kota Ambon,55,41,38,22,147.31,55.38
Kota Tual,44,48,15,30,41.66,104.74
Halmahera Barat,9,8,41,15,15.43,27.16
Halmahera Tengah,70,42,98,54,51.26,90.38
Kepulauan Sula,12,4,8,11,9.04,9.2
Halmahera Selatan,21,17,16,19,28.4,26.72
Halmahera Utara,15,8,34,58,29.6,27.31
Halmahera Timur,76,49,76,71,88.89,93.38
Pulau Morotai,21,18,21,45,23.73,67.66
Pulau Taliabu,2,2,25,4,12.15,80.56
Kota Ternate,51,21,43,69,54.16,96.8
Kota Tidore Kepulauan,38,27,39,52,50.41,50.1
Fakfak,62,135,285,248,276.71,182.72
Kaimana,172,120,173,254,131.41,133.68
Teluk Wondama,109,248,278,93,138.53,127.74
Teluk Bintuni,234,270,194,259,232.2,262.43
Manokwari,267,232,209,196,276.73,212.33
Sorong Selatan,217,301,210,204,132.28,109.78
Sorong,183,219,230,304,540.7,332.32
Raja Ampat,65,136,159,114,116.4,168.59
Tambrauw,30,96,186,81,74.51,30.36
Maybrat,424,236,332,203,399.09,585.18
Manokwari Selatan,72,68,122,143,104.25,119.94
Pegunungan Arfak,77,5,7,22,7.31,7.93
Kota Sorong,239,201,177,275,393.99,298.94
Merauke,205,127,149,131,159.21,155.15
Jayawijaya,12,161,222,80,90.24,140.74
Jayapura,167,196,165,274,260.25,485.35
Nabire,199,285,504,429,305.41,292.43
Kepulauan Yapen,97,103,96,314,303.14,199.92
Biak Numfor,99,135,291,130,140.57,75.27
Paniai,60,48,24,-,-,2.06
Puncak Jaya,9,152,385,44,16.38,3.46
Mimika,216,174,148,98,116.84,78.67
Boven Digoel,50,20,31,78,95.73,72.96
Mappi,64,32,47,42,80.2,96.17
Asmat,10,32,37,59,88.16,83.55
Yahukimo,61,24,46,14,7.71,23.81
Pegunungan Bintang,81,94,92,6,0.25,3.72
Tolikara,35,19,99,25,194.37,10.23
Sarmi,306,249,135,218,79.7,158.42
Keerom,230,214,254,348,319.98,342.3
Waropen,574,256,311,170,133.55,68.84
Supiori,42,52,13,22,70.44,166.66
Mamberamo Raya,32,7,23,157,1.79,-
Nduga,-,-,-,5,-,19.75
Lanny Jaya,11,-,2,2,1.77,0.08
Mamberamo Tengah,-,16,18,1,5.07,0.43
Yalimo,1,-,20,-,-,-
Puncak,-,-,-,-,-,-
Dogiyai,-,26,11,6,41.29,14.03
Intan Jaya,43,8,-,-,-,1.43
Deiyai,518,20,-,-,-,16.24
Kota Jayapura,369,335,203,172,252.61,332.08
