Kabupaten/Kota,2018,2019,2020,2021,2022,2023
Sukoharjo,87,84,83,134,54.05,92.02
Wonogiri,41,30,32,39,52.05,47.12
Karanganyar,73,54,65,106,69.93,44.95
Sragen,95,77,66,93,106.74,116.47
Grobogan,186,168,154,171,243.5,307.67
Blora,210,224,210,221,259.72,233.8
Rembang,354,391,360,493,531.27,452.74
Pati,410,453,523,690,724.63,699.57
Kudus,268,212,289,308,362.86,385.73
Jepara,211,198,225,278,317.14,336.26
Demak,204,164,184,209,252.04,247.03
Semarang,105,97,100,77,75.48,114.18
Temanggung,34,35,23,28,41.16,35.26
Kendal,178,177,172,162,188.25,199.5
Batang,156,199,212,183,180.63,177.83
Pekalongan,192,153,214,160,160.63,192.36
Pemalang,275,287,264,317,271.03,336.77
Tegal,208,232,284,310,296.14,291.13
Brebes,286,287,267,312,297.89,298.71
Kota Magelang,38,24,21,41,44.22,36.37
Kota Surakarta,48,36,52,61,78.05,80.26
Kota Salatiga,76,74,70,73,98.99,77.75
Kota Semarang,127,84,124,130,182.21,125.58
Kota Pekalongan,159,175,150,166,233.55,152.64
Kota Tegal,188,169,239,237,199.42,244.22
Kulon Progo,39,27,25,29,26.95,22.79
Bantul,27,38,38,61,50.57,60.78
Gunung Kidul,49,57,58,60,68.12,68.66
Sleman,60,76,49,57,84.1,87.16
Kota Yogyakarta,34,49,57,67,77.26,59.61
Pacitan,19,29,26,24,20.85,42.99
Ponorogo,26,33,42,43,42.92,61.31
Trenggalek,31,20,31,31,41.21,23.75
Tulungagung,61,52,55,80,87.74,118.43
Blitar,57,68,63,85,84.47,80.59
Kediri,120,116,132,160,159.08,180.61
Malang,172,163,167,213,224.26,221.85
Lumajang,428,449,448,578,547.21,687.82
Jember,408,381,407,471,480.66,503.22
Banyuwangi,215,217,321,273,289.29,326.18
Bondowoso,319,389,336,404,359.4,425.76
Situbondo,314,330,293,311,389.83,415.39
Probolinggo,391,298,481,463,403.96,543.88
Pasuruan,342,358,306,317,386.23,398.05
Sidoarjo,320,390,357,431,360.83,401.41
Mojokerto,368,345,326,415,445.58,499.65
Jombang,266,242,239,270,305.37,305.79
Nganjuk,171,215,181,211,204.13,259.13
Madiun,166,126,143,152,162.94,200.59
Magetan,77,88,58,92,105.32,97.82
Ngawi,127,134,93,88,83.34,141.92
Bojonegoro,237,204,241,277,270.77,337.8
Tuban,207,246,240,262,315.66,446.19
Lamongan,210,257,293,325,364.36,373.95
Gresik,305,305,255,536,353.93,449.29
Bangkalan,155,156,210,228,213.7,312.63
Sampang,448,474,356,360,512.38,543.04
Pamekasan,506,444,520,503,460.13,482.88
Sumenep,500,377,378,630,783.37,921.62
