Kabupaten/Kota,2018,2019,2020,2021,2022,2023
Kota Cilegon,126,122,127,187,143.87,132.25
Kota Serang,156,147,131,196,188.01,121.55
Kota Tangerang Selatan,156,123,180,184,208.57,170.84
Jembrana,149,153,204,177,171.99,212.79
Tabanan,67,72,65,86,73,94.65
Badung,102,86,104,152,77.87,91.56
Gianyar,17,40,59,66,43.22,57.95
Klungkung,16,17,24,11,23.98,28.59
Bangli,28,21,31,14,45.84,37.61
Karangasem,63,10,2,11,10.21,4.01
Buleleng,33,32,45,33,34.01,36.33
Kota Denpasar,63,56,83,91,132.39,112.7
Lombok Barat,28,33,29,46,25.17,45.71
Lombok Tengah,34,22,38,23,28.53,17.8
Lombok Timur,32,26,59,40,43.78,55
Sumbawa,108,65,79,114,125.89,82.22
Dompu,28,51,72,69,59.38,77.25
Bima,33,23,30,65,78.83,62.47
Sumbawa Barat,122,93,165,178,150.26,89.09
Lombok Utara,60,65,37,40,63.96,46.74
Kota Mataram,67,35,67,90,67.86,53.64
Kota Bima,86,48,75,112,94.26,101.14
Sumba Barat,59,34,52,104,110.11,177.17
Sumba Timur,58,69,59,81,87.14,133.15
Kupang,12,12,21,16,23.26,17.84
Timor Tengah Selatan,14,27,14,13,14.32,4.44
Timor Tengah Utara,20,11,29,12,16.01,14.09
Belu,50,20,60,52,71.29,110.05
Alor,24,25,22,29,35.78,83.37
Lembata,16,34,34,31,32,31.5
Flores Timur,31,37,64,20,24.69,42.35
Sikka,31,22,31,24,40.49,18.47
Ende,69,95,99,88,115.77,148.1
Ngada,49,94,64,76,55.38,82.96
Manggarai,58,83,65,98,67.54,95.94
Rote Ndao,18,43,26,28,3.51,21.25
Manggarai Barat,34,48,17,70,38.76,45.95
Sumba Tengah,41,60,54,80,92.74,113.41
Sumba Barat Daya,65,48,49,86,93.6,112.54
Nagekeo,60,101,86,47,66.64,51.13
Manggarai Timur,10,12,8,25,9.72,9.68
Sabu Raijua,20,18,19,19,21.5,9.64
Malaka,7,12,3,44,18.45,15.45
Kota Kupang,55,41,86,78,93.21,116.87
Sambas,134,165,175,197,138.21,214.45
Bengkayang,106,60,102,95,88.59,101.12
Landak,60,42,46,112,189.69,167.09
Mempawah,97,55,103,107,111.39,116.63
Sanggau,97,57,77,79,88.28,120.84
