Kabupaten/Kota,2018,2019,2020,2021,2022,2023
Kediri,277,245,248,283,311.21,369.12
Malang,227,212,217,286,238.62,297.02
Lumajang,281,255,251,300,311.46,401.67
Jember,193,193,181,203,227.12,212.41
Banyuwangi,233,187,177,193,207.7,235.91
Bondowoso,178,152,149,191,149.82,225.84
Situbondo,233,190,202,214,210.07,291.14
Probolinggo,227,157,200,224,270.78,328.99
Pasuruan,276,275,248,280,279.44,292.47
Sidoarjo,245,255,240,311,335.42,315.38
Mojokerto,256,250,243,310,305.61,352.81
Jombang,232,246,189,257,260.05,256.63
Nganjuk,304,241,256,292,328.05,396.93
Madiun,221,199,208,246,261.25,323.65
Magetan,185,221,175,195,243.21,298.82
Ngawi,212,241,211,215,249.58,274.72
Bojonegoro,178,188,184,251,274.6,292.68
Tuban,208,200,171,181,222.87,321.15
Lamongan,226,241,248,307,345.51,404.83
Gresik,150,137,142,226,250.89,296.04
Bangkalan,215,188,224,209,251.98,268.94
Sampang,127,108,108,108,125.3,145.98
Pamekasan,160,138,172,158,169.85,214.41
Sumenep,176,180,171,235,257.15,381.4
Kota Kediri,228,184,167,203,227.26,233.09
Kota Blitar,187,183,211,221,226.9,204.63
Kota Malang,182,183,201,236,285.57,229.1
Kota Probolinggo,209,194,191,191,201.42,204.76
Kota Pasuruan,198,186,204,201,232.81,238.4
Kota Mojokerto,214,197,185,227,264.93,271.33
Kota Madiun,199,192,212,243,264.83,223.63
Kota Surabaya,198,141,144,229,215.03,241.72
Kota Batu,276,250,267,286,301.55,288.19
Pandeglang,282,247,277,324,310.41,319.23
Lebak,421,397,339,487,457.65,412.82
Tangerang,277,318,330,347,410.16,346.8
Serang,257,283,292,324,381.68,368.55
Kota Tangerang,230,232,283,287,348.2,308.13
Kota Cilegon,309,303,232,317,298.2,326.05
Kota Serang,295,227,248,224,295.97,246.15
Kota Tangerang Selatan,285,249,318,335,291.23,341.81
Jembrana,198,228,237,239,244.96,308.7
Tabanan,296,288,244,344,358.08,357.67
Badung,163,149,153,142,152.99,139.19
Gianyar,233,205,210,304,284.21,325.52
Klungkung,386,353,418,414,461.03,607.16
Bangli,304,260,260,298,219.54,313.59
Karangasem,227,153,189,166,175.52,247.63
Buleleng,198,183,175,164,210.58,217.57
Kota Denpasar,191,171,167,224,251.48,191.52
Lombok Barat,227,281,255,365,304.52,444.55
Lombok Tengah,427,395,363,400,353.98,440.2
Lombok Timur,209,298,312,411,354.07,524.81
Sumbawa,287,307,304,389,294.28,426.46
Dompu,207,230,248,255,252.34,266.76
Bima,323,287,230,229,182.38,245.78
Sumbawa Barat,223,203,234,283,222.88,223.87
Lombok Utara,427,422,422,405,325.98,482.01
Kota Mataram,252,255,234,330,311.23,276.45
Kota Bima,247,218,227,238,198.73,230.49
Sumba Barat,458,341,350,433,403.6,536.49
Sumba Timur,482,326,382,399,460,489.12
Kupang,203,211,178,221,343.65,269.88
Timor Tengah Selatan,338,327,260,243,321.64,372.22
Timor Tengah Utara,195,194,292,317,260.89,306.39
Belu,319,254,254,263,386.61,351.51
Alor,374,360,392,355,351.21,439.29
Lembata,205,268,271,297,264.73,325.6
Flores Timur,314,326,360,308,339.52,427.41
Sikka,204,166,147,180,200.57,224.17
Ende,184,148,197,183,233.69,320.65
Ngada,435,414,332,366,468.02,714.18
Manggarai,446,458,536,578,595.23,631.42
Rote Ndao,179,165,198,210,204.37,178.75
Manggarai Barat,565,491,400,364,525.06,522.44
Sumba Tengah,440,387,376,421,529.38,623.65
Sumba Barat Daya,397,439,485,518,498.39,559.09
Nagekeo,280,281,302,333,376.94,453.76
Manggarai Timur,467,442,383,483,639.45,697.9
Sabu Raijua,277,267,309,307,395.31,327.93
Malaka,396,319,283,285,418.89,481.81
Kota Kupang,187,158,215,223,351.29,375.5
Sambas,292,286,297,330,314.46,391.38
Bengkayang,386,346,371,372,483.13,444.73
