Sleman,108,117,125,181,184.22,276.82
Kota Yogyakarta,79,98,125,119,148.46,89.23
Pacitan,21,24,15,28,49.84,18.11
Ponorogo,16,7,30,49,34.25,64.54
Trenggalek,5,11,5,20,3.27,9.05
Tulungagung,10,5,29,60,109.5,47.3
Blitar,19,22,27,44,36.9,44.29
Kediri,23,14,30,23,29.55,9.33
Malang,37,76,28,61,47.17,73.86
Lumajang,13,14,21,81,56.07,77.45
Jember,15,14,26,48,64.22,64.1
Banyuwangi,23,26,23,46,87.02,33.38
Bondowoso,12,12,24,56,28.67,33.71
Situbondo,27,22,14,27,31.94,43.07
Probolinggo,27,17,33,23,30.89,31.72
Pasuruan,36,49,51,68,57.17,67.54
Sidoarjo,194,181,174,278,237.45,271.88
Mojokerto,33,49,71,60,47.36,106.5
Jombang,26,31,28,53,51.76,31.07
Nganjuk,13,23,44,19,34.91,70.38
Madiun,49,35,63,46,29.04,44.9
Magetan,28,36,33,27,71.29,51.78
Ngawi,16,13,17,26,20.43,28.21
Bojonegoro,17,11,16,33,47.33,21.98
Tuban,17,26,12,39,71.31,36.58
Lamongan,38,37,68,51,61.68,39.76
Gresik,53,55,40,113,113.94,156.18
Bangkalan,30,16,80,30,113.13,113.69
Sampang,19,15,38,13,4.77,16.07
Pamekasan,25,24,57,31,39.35,19.88
Sumenep,18,15,42,45,49.09,51.99
Kota Kediri,40,25,54,88,85.24,63.56
Kota Blitar,49,40,41,144,73.53,127.38
Kota Malang,96,97,91,139,177.29,114.9
Kota Probolinggo,76,94,20,72,81.94,76.59
Kota Pasuruan,63,49,47,102,141.7,128.82
Kota Mojokerto,46,52,65,110,152.37,116.73
Kota Madiun,109,111,95,144,144.54,171.61
Kota Surabaya,123,119,102,189,213.47,266.26
Kota Batu,52,111,116,158,153.59,114.23
Pandeglang,37,34,28,27,82.41,45.1
Lebak,38,75,55,44,60.77,54.98
Tangerang,83,87,91,154,226.28,66.4
Serang,33,103,96,88,95.57,132.56
Kota Tangerang,213,145,135,172,255.71,225.85
Kota Cilegon,96,35,107,164,92.39,53.29
Kota Serang,155,101,111,108,122.57,80.65
Kota Tangerang Selatan,226,148,158,187,119.93,237.53
Jembrana,20,19,30,63,45.27,32.68
Tabanan,72,57,76,154,85.82,79.95
Badung,130,166,192,153,205.25,227.83
Gianyar,66,106,113,196,170.28,103.37
Klungkung,163,38,119,159,112.46,151.46
Bangli,67,42,57,71,84.75,91.42
Karangasem,19,23,36,24,30.83,28.87
Buleleng,22,23,17,45,40.85,17.58
