Pulau Taliabu,231,277,191,312,220.9,407.56
Kota Ternate,448,379,409,506,392.71,597.33
Kota Tidore Kepulauan,550,470,439,786,655.26,824.32
Fakfak,603,729,897,1017,1069.15,975.31
Kaimana,714,547,797,799,859.49,640.38
Teluk Wondama,500,595,580,436,309.84,710.19
Teluk Bintuni,839,714,657,803,894.72,987.8
Manokwari,568,584,711,649,696.21,762.03
Sorong Selatan,495,587,548,345,324.47,337.39
Sorong,644,740,747,912,876.22,1205
Raja Ampat,700,748,936,906,1079.94,715.29
Tambrauw,205,478,753,560,883.12,662.74
Maybrat,416,662,766,643,543.27,745.76
Manokwari Selatan,373,535,554,756,854.32,485.97
Pegunungan Arfak,236,207,259,554,528.22,492.32
Kota Sorong,900,619,663,1024,931.04,873.78
Merauke,941,625,1040,1185,984.06,1068.98
Jayawijaya,203,1467,253,910,565.46,863.76
Jayapura,638,620,379,627,707.41,1174.09
Nabire,480,722,1052,1123,930.77,880.66
Kepulauan Yapen,272,319,475,618,525.82,532.33
Biak Numfor,473,468,443,401,393.07,417.81
Paniai,83,6,87,-,-,64.43
Puncak Jaya,98,326,423,655,159.71,2196.22
Mimika,969,747,783,873,848.67,822.16
Boven Digoel,621,572,583,527,285.4,459.28
Mappi,368,559,184,274,353.38,650.88
Asmat,444,245,133,430,673.99,477.52
Yahukimo,163,41,210,51,182.84,200.13
Pegunungan Bintang,608,882,629,182,97.66,83.41
Tolikara,159,109,251,57,337.24,553.39
Sarmi,659,560,381,796,430.26,807.16
Keerom,648,806,649,927,904.44,732.04
Waropen,1191,998,1008,779,-,288.08
Supiori,210,290,335,387,427.64,546.99
Mamberamo Raya,222,123,96,496,130.75,189.18
Nduga,6,20,48,169,90.12,362.13
Lanny Jaya,21,62,242,344,371.46,413.64
Mamberamo Tengah,-,134,76,38,117.94,115.38
Yalimo,99,98,1058,131,112.45,16.17
Puncak,-,-,-,-,-,-
Dogiyai,22,113,69,83,36.22,351.54
Intan Jaya,393,-,49,5,-,18.57
Deiyai,170,-,387,-,-,180.74
Kota Jayapura,723,842,795,864,889.55,1076.2
